author/url,author/userName,createdAt,text,url
https://x.com/chelay933012,chelay933012,Mon Feb 20 03:50:06 +0000 2017,"ABG doesn't mean ""Asian Baby Girl.""

It means ""Arterial Blood Gas.""",https://x.com/chelay933012/status/833524100114980866
https://x.com/HennyGodBOB,HennyGodBOB,Thu Feb 16 22:31:10 +0000 2017,@cjlanon @JoannaSmilez Asian Baby Girl/Asian Bad Girl lmao. A term that's hella popular in SGV.,https://x.com/HennyGodBOB/status/832356677294882816
https://x.com/NinaFilm_,NinaFilm_,Mon Jan 23 03:15:47 +0000 2017,@GATFilm @MindaFilm Asian baby girl 💋 https://t.co/18QdfFJjDm,https://x.com/NinaFilm_/status/823368606801010688
https://x.com/YaaNyamekye_,YaaNyamekye_,Sun Jan 22 07:57:17 +0000 2017,@keezeeyah lolll well I always wanted to adopt an Asian baby girl.,https://x.com/YaaNyamekye_/status/823077058209337344
https://x.com/babyproductsap,babyproductsap,Fri Jan 20 20:28:30 +0000 2017,Abby Rose Pink and Brown Asian Baby Girl Bedding 9pc Crib Set by Sweet Jojo Designs https://t.co/gYZ2c27gP3 https://t.co/KjITTuae9q,https://x.com/babyproductsap/status/822541332963033090
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 20:24:36 +0000 2017,@dodo This is so sad. To the point where animals know they're being slaughtered and try to make a break for it.,https://x.com/TeeOneZeeABG/status/847907500443803648
https://x.com/tigajari_,tigajari_,Fri Mar 31 20:24:22 +0000 2017,“You do not live at once. You only die once and live every day.”,https://x.com/tigajari_/status/847907442776133632
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 20:15:40 +0000 2017,Lmao all kinds of crazy shit is happening in this video. https://t.co/aLQROWxDyA,https://x.com/TeeOneZeeABG/status/847905255853625344
https://x.com/_a1abg_,_a1abg_,Fri Mar 31 20:06:04 +0000 2017,Go listen to that lotto savage problem solver @LottoSavage21 shit ride 💯,https://x.com/_a1abg_/status/847902839817084928
https://x.com/abg_brand,abg_brand,Fri Mar 31 20:00:57 +0000 2017,🔺nybody gets it #anybodygetsit #abgbrand https://t.co/GTCTVnMyRN,https://x.com/abg_brand/status/847901550639022081
https://x.com/ABG__07,ABG__07,Fri Mar 31 19:46:34 +0000 2017,Onme dat last rt me Llf,https://x.com/ABG__07/status/847897929113370624
https://x.com/Aesthaehope,Aesthaehope,Fri Mar 31 19:45:24 +0000 2017,@miyako_kookie @AntiBTS_ABG I would say no luck ha? XD,https://x.com/Aesthaehope/status/847897638527795201
https://x.com/autographbank,autographbank,Fri Mar 31 19:45:03 +0000 2017,FOR SALE! Matthew Modine authentic hand signed celebrity photo #MatthewModine #Autograph #AuthenticAutographs #ABG… https://t.co/p6guS3ZFpV,https://x.com/autographbank/status/847897549923127296
https://x.com/Aesthaehope,Aesthaehope,Fri Mar 31 19:44:06 +0000 2017,@AntiBTS_ABG Third question WHY do you hate them?,https://x.com/Aesthaehope/status/847897308184313857
https://x.com/DONOHARMNYC,DONOHARMNYC,Fri Mar 31 19:30:08 +0000 2017,"@OneLegSandpiper there's a ""South"" Seaside Park? Chef Mike's ABG looks great, wherever it may be...",https://x.com/DONOHARMNYC/status/847893795102494720
https://x.com/abg324,abg324,Fri Mar 31 19:26:25 +0000 2017,@ColleenB123 Follow meeeee queent,https://x.com/abg324/status/847892861043396609
https://x.com/abg324,abg324,Fri Mar 31 19:25:43 +0000 2017,Hey @ColleenB123 follow me,https://x.com/abg324/status/847892681523167233
https://x.com/abg324,abg324,Fri Mar 31 19:25:01 +0000 2017,@ColleenB123 Follow me,https://x.com/abg324/status/847892507098832899
https://x.com/_a1abg_,_a1abg_,Fri Mar 31 19:21:41 +0000 2017,Bet that up https://t.co/GrGyYwei8z,https://x.com/_a1abg_/status/847891667587911680
https://x.com/abg324,abg324,Fri Mar 31 19:19:13 +0000 2017,@ColleenB123 @BallingerMom Follow me?,https://x.com/abg324/status/847891046361174018
https://x.com/slopezabogado,slopezabogado,Fri Mar 31 19:18:50 +0000 2017,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Cy8o6h359V #TreCru https://t.co/FABSNTh8Tt",https://x.com/slopezabogado/status/847890951246839808
https://x.com/PaulCook_ABG,PaulCook_ABG,Fri Mar 31 19:06:07 +0000 2017,So proud of the #CultureScope team! Well done! https://t.co/OOEnslL3Xm,https://x.com/PaulCook_ABG/status/847887749206114308
